,Country name,year,cancel_public_events
221,Hong Kong,2021,2
222,Hong Kong,2022,2
223,Hungary,2020,2
224,Hungary,2021,1
225,Hungary,2022,0
226,Iceland,2020,2
227,Iceland,2021,1
228,Iceland,2022,0
229,India,2020,2
230,India,2021,2
231,India,2022,0
232,Indonesia,2020,2
233,Indonesia,2021,2
234,Indonesia,2022,0
235,Iran,2020,2
236,Iran,2021,2
237,Iran,2022,2
238,Iraq,2020,2
239,Iraq,2021,2
240,Iraq,2022,2
241,Ireland,2020,2
242,Ireland,2021,1
243,Ireland,2022,0
244,Israel,2020,2
245,Israel,2021,1
246,Israel,2022,0
247,Italy,2020,2
248,Italy,2021,2
249,Italy,2022,0
250,Jamaica,2020,2
251,Jamaica,2021,2
252,Jamaica,2022,0
253,Japan,2020,1
254,Japan,2021,1
255,Japan,2022,1
256,Jordan,2020,2
257,Jordan,2021,1
258,Jordan,2022,0
259,Kazakhstan,2020,2
260,Kazakhstan,2021,2
261,Kazakhstan,2022,0
262,Kenya,2020,2
263,Kenya,2021,2
264,Kenya,2022,2
265,Kiribati,2020,0
266,Kiribati,2021,0
267,Kiribati,2022,0
268,Kosovo,2020,2
269,Kosovo,2021,1
270,Kosovo,2022,2
271,Kuwait,2020,2
272,Kuwait,2021,2
273,Kuwait,2022,0
274,Kyrgyzstan,2020,2
275,Kyrgyzstan,2021,2
276,Kyrgyzstan,2022,2
277,Laos,2020,1
278,Laos,2021,2
279,Laos,2022,1
280,Latvia,2020,0
281,Latvia,2021,2
282,Latvia,2022,0
283,Lebanon,2020,2
284,Lebanon,2021,1
285,Lebanon,2022,1
286,Lesotho,2020,1
287,Lesotho,2021,2
288,Lesotho,2022,2
289,Liberia,2020,1
290,Liberia,2021,1
291,Liberia,2022,2
292,Libya,2020,2
293,Libya,2021,2
294,Libya,2022,2
295,Liechtenstein,2020,2
296,Liechtenstein,2021,1
297,Liechtenstein,2022,0
298,Lithuania,2020,2
299,Lithuania,2021,1
300,Lithuania,2022,0
301,Luxembourg,2020,2
302,Luxembourg,2021,1
303,Luxembourg,2022,0
304,Macao,2020,0
305,Macao,2021,0
306,Macao,2022,1
307,Madagascar,2020,2
308,Madagascar,2021,1
309,Madagascar,2022,0
310,Malawi,2020,2
311,Malawi,2021,1
312,Malawi,2022,1
313,Malaysia,2020,2
314,Malaysia,2021,2
315,Malaysia,2022,0
316,Mali,2020,1
317,Mali,2021,2
318,Mali,2022,2
319,Malta,2020,2
320,Malta,2021,2
321,Malta,2022,0
322,Mauritania,2020,0
323,Mauritania,2021,2
324,Mauritania,2022,2
325,Mauritius,2020,0
326,Mauritius,2021,1
327,Mauritius,2022,0
328,Mexico,2020,2
329,Mexico,2021,1
330,Mexico,2022,1
331,Moldova,2020,2
332,Moldova,2021,2
333,Moldova,2022,0
334,Monaco,2020,1
335,Monaco,2021,0
336,Monaco,2022,0
337,Mongolia,2020,2
338,Mongolia,2021,2
339,Mongolia,2022,0
340,Morocco,2020,2
341,Morocco,2021,2
342,Morocco,2022,0
343,Mozambique,2020,2
344,Mozambique,2021,2
345,Mozambique,2022,1
346,Myanmar,2020,2
347,Myanmar,2021,2
348,Myanmar,2022,0
349,Namibia,2020,1
350,Namibia,2021,1
351,Namibia,2022,1
352,Nepal,2020,2
353,Nepal,2021,1
354,Nepal,2022,1
355,Netherlands,2020,2
356,Netherlands,2021,2
357,Netherlands,2022,0
358,New Zealand,2020,0
359,New Zealand,2021,0
360,New Zealand,2022,0
361,Nicaragua,2020,0
362,Nicaragua,2021,0
363,Nicaragua,2022,0
364,Niger,2020,0
365,Niger,2021,2
366,Niger,2022,0
367,Nigeria,2020,2
368,Nigeria,2021,1
369,Nigeria,2022,0
370,Norway,2020,0
371,Norway,2021,1
372,Norway,2022,0
373,Oman,2020,2
374,Oman,2021,2
375,Oman,2022,0
376,Pakistan,2020,2
377,Pakistan,2021,2
378,Pakistan,2022,0
379,Palestine,2020,2
380,Palestine,2021,2
381,Palestine,2022,0
382,Panama,2020,2
383,Panama,2021,2
384,Panama,2022,0
385,Papua New Guinea,2020,1
386,Papua New Guinea,2021,2
387,Papua New Guinea,2022,1
388,Paraguay,2020,2
389,Paraguay,2021,1
390,Paraguay,2022,0
391,Peru,2020,2
392,Peru,2021,2
393,Peru,2022,1
394,Philippines,2020,2
395,Philippines,2021,2
396,Philippines,2022,1
397,Poland,2020,2
398,Poland,2021,1
399,Poland,2022,0
400,Portugal,2020,2
401,Portugal,2021,2
402,Portugal,2022,0
403,Puerto Rico,2020,2
404,Puerto Rico,2021,2
405,Puerto Rico,2022,0
406,Qatar,2020,2
407,Qatar,2021,1
408,Qatar,2022,1
409,Romania,2020,2
410,Romania,2021,2
411,Romania,2022,0
412,Russia,2020,2
413,Russia,2021,2
414,Russia,2022,2
415,Rwanda,2020,2
416,Rwanda,2021,1
417,Rwanda,2022,0
418,San Marino,2020,1
419,San Marino,2021,2
420,San Marino,2022,0
421,Saudi Arabia,2020,2
422,Saudi Arabia,2021,2
423,Saudi Arabia,2022,0
424,Senegal,2020,2
425,Senegal,2021,0
426,Senegal,2022,0
427,Serbia,2020,2
428,Serbia,2021,1
429,Serbia,2022,0
430,Seychelles,2020,0
431,Seychelles,2021,2
432,Seychelles,2022,2
433,Sierra Leone,2020,1
434,Sierra Leone,2021,2
435,Sierra Leone,2022,2
436,Singapore,2020,2
437,Singapore,2021,1
438,Singapore,2022,1
439,Slovakia,2020,2
440,Slovakia,2021,2
441,Slovakia,2022,0
442,Slovenia,2020,2
443,Slovenia,2021,2
444,Slovenia,2022,0
445,Solomon Islands,2020,1
446,Solomon Islands,2021,1
447,Solomon Islands,2022,1
448,Somalia,2020,0
449,Somalia,2021,1
450,Somalia,2022,0
451,South Africa,2020,2
452,South Africa,2021,1
453,South Africa,2022,0
454,South Korea,2020,2
455,South Korea,2021,2
456,South Korea,2022,0
457,South Sudan,2020,2
458,South Sudan,2021,0
459,South Sudan,2022,0
460,Spain,2020,2
461,Spain,2021,2
462,Spain,2022,1
463,Sri Lanka,2020,2
464,Sri Lanka,2021,2
465,Sri Lanka,2022,1
466,Sudan,2020,2
467,Sudan,2021,0
468,Sudan,2022,0
469,Suriname,2020,2
470,Suriname,2021,2
471,Suriname,2022,0
472,Sweden,2020,2
473,Sweden,2021,2
474,Sweden,2022,0
475,Switzerland,2020,2
476,Switzerland,2021,1
477,Switzerland,2022,0
478,Syria,2020,2
479,Syria,2021,2
480,Syria,2022,1
481,Taiwan,2020,0
482,Taiwan,2021,1
483,Taiwan,2022,0
484,Tajikistan,2020,2
485,Tajikistan,2021,0
