,Country name,year,stringency_index
169,Fiji,2021,72.48083333
170,Fiji,2022,41.95333333
171,Finland,2020,39.26909091
172,Finland,2021,42.32333333
173,Finland,2022,16.42083333
174,France,2020,58.12272727
175,France,2021,53.92083333
176,France,2022,20.75833333
177,Gabon,2020,76.02888889
178,Gabon,2021,62.80833333
179,Gabon,2022,20.6125
180,Gambia,2020,65.74
181,Gambia,2021,34.18083333
182,Gambia,2022,13.89
183,Georgia,2020,66.019
184,Georgia,2021,55.09083333
185,Georgia,2022,16.66833333
186,Germany,2020,54.79818182
187,Germany,2021,62.3975
188,Germany,2022,22.08833333
189,Ghana,2020,54.01222222
190,Ghana,2021,42.36
191,Ghana,2022,43.2575
192,Greece,2020,59.119
193,Greece,2021,72.9875
194,Greece,2022,32.1475
195,Greenland,2020,42.18111111
196,Greenland,2021,40.59083333
197,Greenland,2022,18.87416667
198,Grenada,2022,29.46
199,Guatemala,2020,78.34666667
200,Guatemala,2021,53.895
201,Guatemala,2022,43.7475
202,Guinea,2020,68.31222222
203,Guinea,2021,60
204,Guinea,2022,45.3175
205,Guyana,2020,75.92777778
206,Guyana,2021,62.61083333
207,Guyana,2022,33.59083333
208,Haiti,2020,57.81777778
209,Haiti,2021,48.84083333
210,Haiti,2022,38.96333333
211,Honduras,2020,90.12333333
212,Honduras,2021,85.26916667
213,Honduras,2022,34.12583333
214,Hungary,2020,57.40555556
215,Hungary,2021,49.57833333
216,Hungary,2022,11.33583333
217,Iceland,2020,43.981
218,Iceland,2021,39.73833333
219,Iceland,2022,15.17666667
220,India,2020,68.64545455
221,India,2021,67.15083333
222,India,2022,42.43666667
223,Indonesia,2020,64.71333333
224,Indonesia,2021,68.86916667
225,Indonesia,2022,41.805
226,Iran,2020,53.75
227,Iran,2021,73.9975
228,Iran,2022,56.585
229,Iraq,2020,76.112
230,Iraq,2021,70.91083333
231,Iraq,2022,40.41333333
232,Ireland,2020,64.165
233,Ireland,2021,61.60583333
234,Ireland,2022,13.60083333
235,Israel,2020,61.574
236,Israel,2021,52.66666667
237,Israel,2022,21.18
238,Italy,2020,68.47545455
239,Italy,2021,64.29666667
240,Italy,2022,27.65916667
241,Jamaica,2020,78.60111111
242,Jamaica,2021,73.30166667
243,Jamaica,2022,26.90833333
244,Japan,2020,33.16545455
245,Japan,2021,48.68666667
246,Japan,2022,40.20583333
247,Jordan,2020,73.45666667
248,Jordan,2021,50.54
249,Jordan,2022,16.20333333
250,Kazakhstan,2020,79.32333333
251,Kazakhstan,2021,66.975
252,Kazakhstan,2022,26.545
253,Kenya,2020,72.01777778
254,Kenya,2021,57.0375
255,Kenya,2022,42.40916667
256,Kiribati,2022,31.39636364
257,Kosovo,2020,71.60555556
258,Kosovo,2021,52.08333333
259,Kosovo,2022,38.24083333
260,Kuwait,2020,72.777
261,Kuwait,2021,66.19916667
262,Kuwait,2022,17.8
263,Kyrgyzstan,2020,74.12444444
264,Kyrgyzstan,2021,47.53
265,Kyrgyzstan,2022,31.01666667
266,Laos,2020,47.53111111
267,Laos,2021,51.65916667
268,Laos,2022,52.01166667
269,Latvia,2020,49.69111111
270,Latvia,2021,50.35333333
271,Latvia,2022,17.16333333
272,Lebanon,2020,70.093
273,Lebanon,2021,65.005
274,Lebanon,2022,31.2525
275,Lesotho,2020,57.01142857
276,Lesotho,2021,54.71166667
277,Lesotho,2022,25.89916667
278,Liberia,2020,66.87333333
279,Liberia,2021,43.59666667
280,Liberia,2022,38.99916667
281,Libya,2020,88.99111111
282,Libya,2021,65.1625
283,Libya,2022,38.8475
284,Liechtenstein,2020,51.85222222
285,Liechtenstein,2021,41.48916667
286,Liechtenstein,2022,16.02333333
287,Lithuania,2020,51.156
288,Lithuania,2021,48.16166667
289,Lithuania,2022,14.83166667
290,Luxembourg,2020,52.16
291,Luxembourg,2021,46.96
292,Luxembourg,2022,26.55916667
293,Madagascar,2020,61.31777778
294,Madagascar,2021,46.37416667
295,Madagascar,2022,20.8725
296,Malawi,2020,57.06375
297,Malawi,2021,41.42833333
298,Malawi,2022,31.0475
299,Malaysia,2020,57.61545455
300,Malaysia,2021,71.43416667
301,Malaysia,2022,22.2175
302,Mali,2020,50.92555556
303,Mali,2021,44.75166667
304,Mali,2022,29.7525
305,Malta,2020,57.71666667
306,Malta,2021,52.315
307,Malta,2022,24.29916667
308,Mauritania,2020,47.94333333
309,Mauritania,2021,39.66166667
310,Mauritania,2022,32.95666667
311,Mauritius,2020,38.99222222
312,Mauritius,2021,47.95166667
313,Mauritius,2022,21.2575
314,Mexico,2020,67.362
315,Mexico,2021,52.19833333
316,Mexico,2022,25.62416667
317,Moldova,2020,66.15444444
318,Moldova,2021,55.7075
319,Moldova,2022,19.0375
320,Monaco,2020,56.297
321,Monaco,2021,38.7025
322,Monaco,2022,22.31083333
323,Mongolia,2020,61.73
324,Mongolia,2021,61.035
325,Mongolia,2022,12.26833333
326,Morocco,2020,77.26444444
327,Morocco,2021,69.03333333
328,Morocco,2022,34.22666667
329,Mozambique,2020,65.22555556
330,Mozambique,2021,51.54333333
331,Mozambique,2022,29.78083333
332,Myanmar,2020,78.34444444
333,Myanmar,2021,72.29916667
334,Myanmar,2022,58.32833333
335,Namibia,2020,55.24666667
336,Namibia,2021,44.32833333
337,Namibia,2022,17.90166667
338,Nepal,2020,70.53909091
339,Nepal,2021,55.05416667
340,Nepal,2022,35.6125
341,Netherlands,2020,55.371
342,Netherlands,2021,57.75833333
343,Netherlands,2022,23.1175
344,New Zealand,2020,41.48
345,New Zealand,2021,45.91
346,New Zealand,2022,25.1425
347,Nicaragua,2020,15.43111111
348,Nicaragua,2021,9.256666667
