Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Gabon,2020,4.887,9.54,0.701,57.925,0.528,-0.192,0.789
Gabon,2021,5.075,9.533,0.754,58.25,0.699,-0.205,0.766
Gabon,2022,5.14,9.539,0.775,58.575,0.699,-0.164,0.803
Georgia,2020,5.123,9.544,0.718,64.825,0.764,-0.223,0.583
Georgia,2021,4.911,9.648,0.671,64.95,0.777,-0.287,0.723
Georgia,2022,5.293,9.746,0.754,65.075,0.821,-0.253,0.655
Germany,2020,7.312,10.856,0.905,71.1,0.864,-0.066,0.424
Germany,2021,6.755,10.881,0.868,71.3,0.778,0.075,0.418
Germany,2022,6.608,10.899,0.916,71.5,0.895,0.081,0.417
Ghana,2020,5.319,8.569,0.643,58.375,0.824,0.199,0.847
Ghana,2021,4.378,8.601,0.633,58.75,0.73,0.108,0.888
Ghana,2022,4.191,8.615,0.628,59.125,0.786,0.117,0.909
Greece,2020,5.788,10.207,0.779,71.025,0.565,-0.244,0.764
Greece,2021,6.104,10.294,0.85,71.15,0.574,-0.159,0.752
Greece,2022,5.9,10.364,0.875,71.275,0.563,-0.316,0.874
Guinea,2020,4.972,7.865,0.732,53.75,0.598,0.078,0.79
Guinea,2021,4.945,7.879,0.627,54.2,0.676,0.16,0.784
Guinea,2022,5.317,7.9,0.582,54.65,0.729,0.139,0.77
Hungary,2020,6.038,10.349,0.943,67.35,0.771,-0.125,0.836
Hungary,2021,6.227,10.422,0.948,67.5,0.727,-0.044,0.832
Hungary,2022,5.861,10.484,0.937,67.65,0.776,-0.008,0.848
Iceland,2020,7.575,10.862,0.983,72.025,0.949,0.153,0.644
Iceland,2021,7.565,10.889,0.98,72.05,0.923,0.258,0.664
Iceland,2022,7.449,10.935,0.985,72.075,0.936,0.222,0.692
India,2020,4.224,8.718,0.616,60.6,0.906,0.071,0.78
India,2021,3.558,8.794,0.57,60.9,0.866,0.056,0.757
India,2022,3.93,8.85,0.608,61.2,0.893,0.09,0.771
Indonesia,2020,4.828,9.351,0.751,62.925,0.853,0.532,0.914
Indonesia,2021,5.433,9.381,0.817,63.05,0.885,0.543,0.845
Indonesia,2022,5.585,9.425,0.834,63.175,0.903,0.519,0.862
Iran,2020,4.865,9.577,0.757,66.45,0.6,0.133,0.71
Iran,2021,4.788,9.616,0.771,66.6,0.609,0.174,0.761
Iran,2022,4.977,9.638,0.8,66.75,0.57,0.212,0.766
Ireland,2020,7.035,11.42,0.96,71.2,0.882,0.002,0.356
Ireland,2021,6.828,11.538,0.85,71.3,0.846,0.133,0.36
Ireland,2022,6.87,11.625,0.906,71.4,0.895,0.14,0.358
Israel,2020,7.195,10.58,0.959,72.55,0.831,-0.057,0.748
Israel,2021,7.578,10.647,0.917,72.7,0.82,-0.006,0.726
Israel,2022,7.662,10.692,0.954,72.85,0.775,-0.005,0.655
Italy,2020,6.488,10.573,0.89,71.975,0.718,-0.155,0.844
Italy,2021,6.467,10.644,0.886,72.05,0.703,-0.094,0.862
Italy,2022,6.258,10.685,0.869,72.125,0.711,0.028,0.819
Ivory Coast,2020,5.257,8.537,0.613,55.375,0.77,0.015,0.777
Ivory Coast,2021,5.056,8.58,0.554,55.95,0.717,-0.002,0.716
Ivory Coast,2022,4.849,8.612,0.536,56.525,0.713,-0.005,0.743
Jamaica,2020,5.425,9.127,0.87,66.6,0.865,-0.15,0.836
